Brand,Product Name,SKU / ID,Image Link,Target Sale Price (ZAR)
"fwee","fwee 3D Voluming Gloss (5.3g)","FWEE-9024585269484","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/FWEE-3d-voluming-gloss-30-vanillah-1000x1000.webp?v=1760625652",341
"fwee","fwee 3D Changing Gloss (5.3g)","FWEE-9024599392492","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/FWEE-3d-changing-gloss-00-clear-1000x1000.webp?v=1760629387",341
"fwee","fwee Glitz Stone Highlighter (4.6-6g)","FWEE-9024601653484","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/194bb944-b96c-4761-8d8d-23826f603a10.webp?v=1760657971",436
"fwee","fwee 3D Voluming Tint (3.8g)","FWEE-9024607158508","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Fwee3DTint.png?v=1760755971",341
"Haruharu Wonder","Haruharu Wonder Black Rice 5 Ceramide Barrier Moisturizing Cream (50ml)","HARUHARUWONDER-9075169460460","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/haruharu-wonder-black-rice-5-ceramide-barrier-moisturizing-cream-1000x1000.webp?v=1764717022",646
"Haruharu Wonder","Haruharu Wonder Black Rice Night Knight Retinol Serum (20ml)","HARUHARUWONDER-9075167822060","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/HaruharuBackRiceNightKnightRetinolSerum.png?v=1763650089",646
"Heimish","HEIMISH Bulgarian Rose Water Hydrogel Eye Patch (30 Pairs)","HEIMISH-7942474203372","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/HEIMISH_Bulgarian_Rose_Water_Hydrogel_Eye_Patch__30_Pairs_-removebg-preview.png?v=1766244317",361
"&honey","&honey Pure Moist Foaming Body Wash (500ml + 440ml)","&HONEY-9134336508140","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/vicrea-honey-body-wash-bubble-pure.png?v=1769113456",722
"&honey","&honey Herb Smooth Treatment (440ml)","&HONEY-9083751334124","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/honey_Herb_Smooth_Treatment_440ml.png?v=1772982084",493
"&honey","&honey Herb Smooth Shampoo (440ml)","&HONEY-9083751137516","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/honey_Herb_Smooth_Shampoo_440ml.png?v=1772981873",493
"I'M FROM","I'M FROM Honey Mask (120g)","I-7933143810284","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/I_m_From_Honey_Mask.png?v=1764949677",664
"I'M FROM","I'M FROM Mugwort Essence (150ml)","I-9094673432812","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/I_E2_80_99m_from__MUGWORT_ESSENCE_150ml_2.png?v=1764717646",664
"ILLIYOON","ILLIYOON Ultra Repair Intensive Care Cream (200ml)","ILLIYOON-9098311794924","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ILLIYOONUltraRepairIntensiveCareCream200ml.png?v=1766438786",551
"ILLIYOON","ILLIYOON Ultra Repair Lotion (350ml)","ILLIYOON-9098311172332","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/1_f3426ca9-c406-4f57-bde6-22794989f292.png?v=1766438002",551
"ILSO","ILSO Natural Mild Clear Nose Patch (5 PCs)","ILSO-9144532730092","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/614bRYiheYL.png?v=1769810349",418
"ILSO","ILSO Super Melting Sebum Cleansing Oil (200ml)","ILSO-9155976298732","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/d14bc3e4-e1a1-4629-8596-c2c91935fd1a.png?v=1771012683",570
"ILSO","ILSO No Problem Spot Patch (72 PCs)","ILSO-9155976528108","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ilso_No_problem_Spot_Patch.png?v=1771615286",285
"ILSO","ILSO No Problem Spot Softener + 1/3 Saving Cotton Pad (150g + 40pcs)","ILSO-9155977740524","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/283ed3cf8827b6cb17a258c6236b5e5a_750x750_6bed5fc0-f9ab-4ce5-ab8d-b3a099862439.png?v=1771014133",608
"ILSO","ILSO Clean Up Wash Off Mud Cream (100g)","ILSO-9155975938284","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/XXL_p0202421425.png?v=1770992951",474
"IPSA","IPSA The Time Reset Aqua (200ml)","IPSA-6363062108309","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/IPSA_The_Time_Reset_Aqua__200ml_-removebg-preview.png?v=1766247604",1805
"Ishizawa","ISHIZAWA KEANA Nadeshiko Baking Soda Cleansing Gel (100g)","ISHIZAWA-7733814788332","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ISHIZAWA_KEANA_Nadeshiko_Baking_Soda_Cleansing_Gel__100g_-removebg-preview.png?v=1766247607",380
